USD|14035.0|14015.0
SGD|9889.55|9869.55
EUR|15253.1|15153.1
AUD|10033.52|9953.52
DKK|2077.81|1997.81
SEK|1680.29|1600.29
CAD|10095.21|10015.21
CHF|14149.74|14049.74
NZD|9438.16|9358.16
GBP|20956.37|20856.37
HKD|1824.06|1794.06
JPY|116.27|112.87
SAR|3779.28|3699.28
CNY|2174.84|2094.84
remotelastupdate|18 Des 2015 / 08:17 WIB
